,SECONDARY
679,Y
908,Y
1106,Y
1107,Y
1147,Y
1242,Y
1313,Y
1386,Y
1388,Y
1390,Y
1554,Y
1564,Y
1596,Y
1774,Y
1844,Y
1876,Y
2017,Y
2080,Y
2090,Y
2151,Y
2439,Y
2459,Y
2519,Y
2648,Y
2663,Y
2733,Y
2800,Y
2803,Y
2929,Y
3008,Y
3065,Y
3066,Y
3104,Y
3118,Y
3126,Y
3134,Y
3135,Y
3210,Y
3211,Y
3218,Y
3233,Y
3234,Y
3252,Y
3291,Y
3354,Y
3504,Y
3518,Y
3519,Y
3522,Y
3560,Y
3585,Y
3612,Y
3626,Y
3705,Y
3710,Y
3711,Y
3809,Y
3811,Y
3846,Y
3847,Y
3935,Y
3946,Y
3966,Y
3987,Y
4085,Y
4171,Y
4180,Y
4192,Y
4193,Y
4194,Y
4195,Y
4219,Y
4225,Y
4234,Y
4239,Y
4300,Y
4301,Y
4327,Y
4336,Y
4342,Y
4353,Y
4355,Y
4363,Y
4415,Y
4418,Y
4419,Y
4420,Y
4421,Y
4457,Y
4461,Y
4520,Y
4536,Y
4540,Y
4548,Y
4552,Y
4559,Y
4565,Y
4566,Y
4568,Y
4570,Y
4571,Y
4573,Y
4575,Y
4580,Y
4590,Y
4591,Y
4592,Y
4598,Y
4632,Y
4662,Y
4669,Y
4670,Y
4671,Y
4674,Y
4676,Y
4677,Y
4680,Y
4704,Y
4705,Y
4780,Y
4786,Y
4792,Y
4832,Y
4833,Y
4846,Y
4907,Y
4915,Y
4947,Y
4971,Y
5022,Y
5085,Y
5112,Y
5118,Y
5121,Y
5144,Y
5151,Y
5166,Y
5167,Y
5219,Y
5220,Y
5223,Y
5230,Y
5233,Y
5251,Y
5253,Y
5290,Y
5309,Y
5314,Y
5351,Y
5354,Y
5355,Y
5384,Y
5385,Y
5386,Y
5387,Y
5388,Y
5389,Y
5390,Y
5396,Y
5498,Y
5622,Y
5629,Y
5713,Y
5819,Y
5914,Y
6080,Y
6825,Y
6865,Y
6866,Y
7090,Y
7617,Y
7734,Y
7973,Y
7974,Y
7977,Y
8029,Y
8157,Y
8190,Y
8278,Y
8279,Y
8282,Y
8286,Y
8289,Y
8294,Y
8295,Y
8296,Y
8297,Y
8298,Y
8299,Y
8300,Y
8301,Y
8302,Y
8303,Y
8304,Y
8305,Y
8306,Y
8307,Y
8309,Y
8310,Y
8311,Y
8312,Y
8313,Y
8314,Y
8317,Y
8318,Y
8328,Y
8329,Y
8330,Y
8464,Y
8465,Y
8473,Y
8474,Y
8621,Y
8684,Y
9013,Y
9042,Y
9246,Y
9253,Y
9254,Y
9257,Y
9258,Y
9259,Y
9260,Y
9264,Y
9265,Y
9266,Y
9267,Y
9268,Y
9269,Y
9270,Y
9275,Y
9276,Y
9277,Y
9278,Y
9279,Y
9280,Y
9281,Y
9282,Y
9283,Y
9284,Y
9285,Y
9286,Y
9287,Y
9288,Y
9289,Y
9290,Y
9291,Y
9304,Y
9307,Y
9315,Y
9316,Y
9317,Y
9318,Y
9319,Y
9401,Y
9403,Y
9404,Y
9405,Y
9407,Y
9424,Y
9451,Y
9460,Y
9489,Y
9601,Y
9606,Y
9645,Y
9681,Y
9697,Y
9698,Y
9789,Y
9809,Y
9824,Y
9826,Y
9833,Y
9912,Y
9962,Y
9966,Y
9969,Y
9980,Y
10033,Y
10139,Y
10143,Y
10150,Y
10161,Y
10230,Y
10235,Y
10240,Y
10246,Y
10257,Y
10302,Y
10325,Y
10341,Y
10399,Y
10403,Y
10450,Y
10451,Y
10504,Y
10505,Y
10544,Y
10547,Y
10556,Y
10557,Y
10560,Y
10572,Y
10582,Y
10587,Y
10589,Y
10603,Y
10606,Y
10615,Y
10630,Y
10631,Y
10634,Y
10635,Y
10636,Y
10637,Y
10643,Y
10645,Y
10646,Y
10647,Y
10649,Y
10665,Y
10720,Y
10728,Y
10745,Y
10752,Y
10760,Y
10786,Y
10834,Y
10862,Y
10915,Y
10948,Y
11060,Y
11063,Y
11222,Y
11224,Y
11417,Y
11424,Y
11425,Y
11428,Y
11432,Y
11435,Y
11436,Y
11604,Y
11839,Y
11859,Y
11888,Y
11931,Y
11949,Y
12031,Y
12112,Y
12325,Y
12442,Y
12445,Y
12447,Y
12448,Y
12466,Y
12544,Y
12546,Y
12547,Y
12548,Y
12549,Y
12550,Y
12551,Y
12552,Y
12554,Y
12555,Y
12556,Y
12557,Y
12621,Y
12637,Y
12719,Y
12725,Y
12760,Y
12797,Y
12867,Y
12879,Y
12884,Y
12890,Y
12896,Y
12905,Y
12906,Y
12912,Y
12914,Y
12934,Y
12936,Y
12941,Y
12946,Y
12947,Y
12996,Y
13027,Y
13036,Y
13045,Y
13053,Y
13089,Y
13095,Y
13096,Y
13110,Y
13135,Y
13228,Y
13240,Y
13241,Y
13242,Y
13243,Y
13244,Y
13245,Y
13246,Y
13249,Y
13262,Y
